#       RA           DEC
      341.372     -17.4620
      342.847     -15.2900
      344.471     -13.2298
      346.235     -11.2934
      348.131     -9.49277
      350.151     -7.83942
      352.285     -6.34441
      354.524     -5.01819
      356.855     -3.87043
      359.267     -2.90985
      1.74637     -2.14400
      4.27778     -1.57906
      6.84590     -1.21973
      9.43440     -1.06902
      12.0266     -1.12822
      14.6056     -1.39683
      17.1550     -1.87256
      19.7999     -2.59618
      22.2390     -3.48376
      24.6026     -4.56151
      26.8777     -5.82115
      29.0528     -7.25335
      31.1171     -8.84793
      33.0612     -10.5941
      34.8763     -12.4803
      36.5540     -14.4950
      38.0864     -16.6261
      39.4652     -18.8613
      40.6818     -21.1881
      41.7267     -23.5938
      42.5889     -26.0653
      43.2558     -28.5891
      43.7125     -31.1510
      43.9414     -33.7362
      42.7009     -37.3032
      42.2491     -39.8439
      41.4759     -42.3421
      40.3472     -44.7735
      38.8263     -47.1106
      36.8756     -49.3224
      34.4606     -51.3735
      31.5560     -53.2247
      28.1536     -54.8338
      24.2730     -56.1569
      19.9708     -57.1522
      15.3466     -57.7840
      10.5393     -58.0274
      5.71312     -57.8724
      1.03495     -57.3253
      356.651     -56.4081
      352.670     -55.1545
      349.158     -53.6054
      346.143     -51.8043
      343.621     -49.7941
      341.569     -47.6150
      339.956     -45.3029
      339.265     -44.0328
      338.250     -41.5781
      337.579     -39.0644
      337.220     -36.5149
      337.143     -33.9504
      337.324     -31.3897
      337.739     -28.8499
      338.372     -26.3468
      339.207     -23.8953
      340.229     -21.5098
      341.428     -19.2039
      342.793     -16.9910
      344.315     -14.8842
      345.985     -12.8962
      347.795     -11.0394
      349.734     -9.32593
      351.795     -7.76738
      353.966     -6.37476
      356.236     -5.15836
      358.592     -4.12747
      1.02209     -3.29028
      3.51039     -2.65364
      6.04146     -2.22289
      8.59884     -2.00169
      11.1656     -1.99196
      13.7245     -2.19379
      16.2587     -2.60543
      18.7516     -3.22336
      20.3273     -3.72800
      22.7185     -4.67304
      25.0290     -5.80742
      27.2457     -7.12230
      29.3569     -8.60783
      31.3518     -10.2533
      33.2207     -12.0473
      34.9542     -13.9781
      36.5436     -16.0332
      37.9802     -18.2002
      39.2548     -20.4660
      40.3576     -22.8175
      41.2778     -25.2412
      42.0028     -27.7230
      42.5180     -30.2483
      42.8064     -32.8017
      42.8479     -35.3666
