# ID        RA           DEC
  444       349.362     -23.9063
  445       350.434     -21.8693
  446       351.714     -19.9471
  447       353.185     -18.1600
  448       354.827     -16.5270
  449       356.625     -15.0658
  450       358.557     -13.7923
  451      0.606120     -12.7206
  452       2.75042     -11.8629
  453       4.96866     -11.2290
  454       7.23837     -10.8263
  455       9.53639     -10.6595
  456       11.8392     -10.7306
  457       14.1231     -11.0388
  458       16.3648     -11.5805
  459       16.8421     -11.7279
  460       19.0018     -12.5446
  461       21.0699     -13.5774
  462       23.0258     -14.8144
  463       24.8496     -16.2419
  464       26.5224     -17.8442
  465       28.0262     -19.6040
  466       29.3432     -21.5026
  467       30.4556     -23.5199
  468       31.3454     -25.6343
  469       31.9937     -27.8229
  470       32.3809     -30.0613
  471       32.4860     -32.3234
  472       32.2871     -34.5812
  473       30.5873     -36.2873
  474       29.7345     -38.4029
  475       28.5131     -40.4142
  476       26.9111     -42.2823
  477       24.9260     -43.9667
  478       22.5697     -45.4265
  479       19.8726     -46.6220
  480       16.8872     -47.5175
  481       13.6887     -48.0838
  482       10.3719     -48.3015
  483       7.04292     -48.1629
  484       3.80939     -47.6729
  485      0.769284     -46.8484
  486       358.003     -45.7168
  487       355.567     -44.3125
  488       353.498     -42.6746
  489       351.810     -40.8438
  490       350.407     -38.6784
  491       349.506     -36.5745
  492       348.958     -34.3981
  493       348.743     -32.1838
  494       348.838     -29.9637
  495       349.222     -27.7677
  496       349.874     -25.6237
  497       350.773     -23.5577
  498       351.899     -21.5943
  499       353.232     -19.7560
  500       354.754     -18.0643
  501       356.446     -16.5385
  502       358.287     -15.1967
  503      0.256111     -14.0546
  504       2.33253     -13.1260
  505       4.49325     -12.4222
  506       6.71461     -11.9520
  507       8.97222     -11.7211
  508       11.2412     -11.7326
  509       13.4964     -11.9861
  510       15.7131     -12.4787
  511       17.0588     -12.9019
  512       19.1616     -13.7674
  513       21.1638     -14.8499
  514       23.0434     -16.1363
  515       24.7796     -17.6114
  516       26.3521     -19.2577
  517       27.7414     -21.0563
  518       28.9284     -22.9863
  519       29.8938     -25.0254
  520       30.6180     -27.1497
  521       31.0807     -29.3336
  522       31.2607     -31.5498
  523       31.1364     -33.7690
  524       34.6104     -35.6433
  525       34.0300     -37.9387
  526       33.1030     -40.1672
  527       31.8063     -42.2965
  528       30.1203     -44.2913
  529       28.0328     -46.1139
  530       25.5439     -47.7249
  531       22.6712     -49.0847
  532       19.4559     -50.1554
  533       15.9647     -50.9041
  534       12.2898     -51.3058
  535       8.54224     -51.3463
  536       4.84108     -51.0242
  537       1.30023     -50.3510
  538       358.017     -49.3493
  539       355.063     -48.0507
  540       352.487     -46.4922
  541       350.309     -44.7132
  542       348.535     -42.7534
  543       347.220     -40.7713
  544       346.192     -38.5670
  545       345.518     -36.2871
  546       345.172     -33.9623
  547       345.132     -31.6207
  548       345.374     -29.2881
  549       345.876     -26.9885
  550       346.621     -24.7444
  551       347.589     -22.5769
  552       348.764     -20.5057
  553       350.131     -18.5498
  554       351.674     -16.7270
  555       353.378     -15.0541
  556       355.227     -13.5468
  557       357.207     -12.2195
  558       359.299     -11.0853
  559       1.48566     -10.1554
  560       3.74847     -9.43954
  561       6.06735     -8.94506
  562       8.42166     -8.67723
  563       10.7902     -8.63892
  564       13.1517     -8.83052
  565       15.4847     -9.25001
  566       18.5148     -10.1556
  567       20.7016     -11.0855
  568       22.7937     -12.2198
  569       24.7730     -13.5471
  570       26.6226     -15.0545
  571       28.3267     -16.7274
  572       29.8696     -18.5502
  573       31.2362     -20.5061
  574       32.4114     -22.5773
  575       33.3795     -24.7449
  576       34.1238     -26.9890
  577       34.6264     -29.2886
  578       34.8681     -31.6212
  579       34.8276     -33.9628
  580       33.2984     -35.9223
  581       32.6232     -38.1623
  582       31.5929     -40.3237
  583       30.1870     -42.3717
  584       28.3908     -44.2693
  585       26.1992     -45.9775
  586       23.6219     -47.4561
  587       20.6881     -48.6664
  588       17.4513     -49.5726
  589       13.9894     -50.1456
  590       10.4021     -50.3659
  591       6.80202     -50.2256
  592       3.30303     -49.7298
  593    0.00849704     -48.8955
  594       357.002     -47.7501
  595       354.342     -46.3278
  596       352.063     -44.6673
  597       350.179     -42.8085
  598       348.253     -40.0496
  599       347.270     -37.8762
  600       346.639     -35.6284
  601       346.338     -33.3379
  602       346.343     -31.0340
  603       346.632     -28.7438
  604       347.183     -26.4923
  605       347.978     -24.3031
  606       348.998     -22.1983
  607       350.225     -20.1987
  608       351.644     -18.3239
  609       353.237     -16.5922
  610       354.988     -15.0210
  611       356.881     -13.6261
  612       358.897     -12.4219
  613       1.01772     -11.4211
  614       3.22387     -10.6342
  615       5.49461     -10.0701
  616       7.80847     -9.73485
  617       10.1434     -9.63226
  618       12.4769     -9.76350
  619       14.7866     -10.1271
  620       18.7849     -11.3405
  621       20.9144     -12.3223
  622       22.9408     -13.5086
  623       24.8453     -14.8867
  624       26.6101     -16.4425
  625       28.2183     -18.1602
  626       29.6534     -20.0228
  627       30.8989     -22.0119
  628       31.9382     -24.1080
  629       32.7543     -26.2904
  630       33.3289     -28.5371
  631       33.6424     -30.8248
  632       33.6741     -33.1286
  633       36.7482     -37.3012
  634       36.0377     -39.6488
  635       34.9744     -41.9232
  636       33.5319     -44.0931
  637       31.6867     -46.1243
  638       29.4227     -47.9796
  639       26.7361     -49.6198
  640       23.6421     -51.0049
  641       20.1812     -52.0963
  642       16.4231     -52.8598
  643       12.4660     -53.2697
  644       8.42999     -53.3111
  645       4.44441     -52.9824
  646      0.632574     -52.2956
  647       357.098     -51.2745
  648       353.918     -49.9516
  649       351.139     -48.3647
  650       348.781     -46.5538
  651       346.843     -44.5585
  652       345.232     -42.2812
  653       344.109     -40.0215
  654       343.344     -37.6837
  655       342.908     -35.2966
  656       342.777     -32.8865
  657       342.926     -30.4772
  658       343.333     -28.0909
  659       343.979     -25.7480
  660       344.846     -23.4679
  661       345.919     -21.2688
  662       347.184     -19.1681
  663       348.626     -17.1824
  664       350.233     -15.3276
  665       351.992     -13.6187
  666       353.890     -12.0700
  667       355.912     -10.6949
  668       358.044     -9.50535
  669      0.270057     -8.51225
  670       2.57365     -7.72482
  671       4.93682     -7.15057
  672       7.34087     -6.79509
  673       9.76651     -6.66183
  674       12.1940     -6.75216
  675       14.6038     -7.06514
  676       16.9763     -7.59772
  677       20.1189     -8.66869
  678       22.3301     -9.69629
  679       24.4444     -10.9186
  680       26.4461     -12.3245
  681       28.3208     -13.9017
  682       30.0545     -15.6367
  683       31.6342     -17.5151
  684       33.0469     -19.5218
  685       34.2794     -21.6406
  686       35.3182     -23.8549
  687       36.1487     -26.1471
  688       36.7548     -28.4989
  689       37.1190     -30.8907
  690       37.2212     -33.3017
  691       35.8894     -35.3044
  692       35.4061     -37.6505
  693       34.5862     -39.9412
  694       33.4042     -42.1459
  695       31.8366     -44.2314
  696       29.8652     -46.1618
  697       27.4813     -47.8985
  698       24.6917     -49.4017
  699       21.5243     -50.6324
  700       18.0334     -51.5542
  701       14.3010     -52.1373
  702       10.4336     -52.3615
  703       6.55223     -52.2188
  704       2.77990     -51.7142
  705       359.227     -50.8655
  706       355.982     -49.7006
  707       353.105     -48.2547
  708       350.630     -46.5665
  709       348.567     -44.6759
  710       346.911     -42.6217
  711       346.213     -41.5155
  712       345.139     -39.2825
  713       344.420     -36.9727
  714       344.030     -34.6158
  715       343.944     -32.2388
  716       344.139     -29.8666
  717       344.593     -27.5222
  718       345.288     -25.2270
  719       346.205     -23.0012
  720       347.329     -20.8637
  721       348.644     -18.8327
  722       350.137     -16.9255
  723       351.793     -15.1583
  724       353.598     -13.5466
  725       355.537     -12.1047
  726       357.596     -10.8460
  727       359.758     -9.78214
  728       2.00553     -8.92347
  729       4.32050     -8.27843
  730       6.68368     -7.85350
  731       9.07515     -7.65300
  732       11.4745     -7.67899
  733       13.8613     -7.93120
  734       16.2152     -8.40705
  735       18.1947     -8.99039
  736       20.4354     -9.86742
  737       22.5889     -10.9488
  738       24.6378     -12.2241
  739       26.5662     -13.6814
  740       28.3587     -15.3074
  741       30.0008     -17.0875
  742       31.4784     -19.0063
  743       32.7775     -21.0473
  744       33.8837     -23.1932
  745       34.7821     -25.4259
  746       35.4564     -27.7263
  747       35.8890     -30.0740
  748       36.0603     -32.4476
  749       35.9487     -34.8238
  750       39.3192     -36.4312
